experiment,impl,n,blockSize,param,median_ms,min_ms
npot,thrust,5500000,0,0,40.137695,40.009727
npot,shared-efficient,5500000,128,0,2.496896,2.479296
npot,cpu,5750000,0,0,19.961542,19.673552
npot,efficient,5750000,256,0,3.917824,3.905568
npot,efficient-unoptimized,5750000,256,0,17.564608,17.556000
npot,thrust,5750000,0,0,41.911678,41.817986
npot,shared-efficient,5750000,128,0,2.609088,2.605088
npot,cpu,6000000,0,0,21.094904,20.583134
npot,efficient,6000000,256,0,3.919328,3.903040
npot,efficient-unoptimized,6000000,256,0,17.561695,17.558399
npot,thrust,6000000,0,0,43.839775,43.687424
npot,shared-efficient,6000000,128,0,2.717504,2.697184
npot,cpu,6250000,0,0,21.922237,21.395029
npot,efficient,6250000,256,0,3.904960,3.897280
npot,efficient-unoptimized,6250000,256,0,17.559551,17.549631
npot,thrust,6250000,0,0,45.541374,45.327007
npot,shared-efficient,6250000,128,0,2.826048,2.808288
npot,cpu,6500000,0,0,22.215879,21.534302
npot,efficient,6500000,256,0,3.911296,3.904160
npot,efficient-unoptimized,6500000,256,0,17.555040,17.520639
npot,thrust,6500000,0,0,47.472641,47.290272
npot,shared-efficient,6500000,128,0,2.934592,2.916192
npot,cpu,6750000,0,0,23.461985,23.020798
npot,efficient,6750000,256,0,3.913088,3.901472
npot,efficient-unoptimized,6750000,256,0,17.558592,17.539425
npot,thrust,6750000,0,0,49.415359,49.191807
npot,shared-efficient,6750000,128,0,3.041120,3.016160
npot,cpu,7000000,0,0,24.467136,24.117321
npot,efficient,7000000,256,0,3.912032,3.893472
npot,efficient-unoptimized,7000000,256,0,17.559776,17.524256
npot,thrust,7000000,0,0,51.181793,51.031391
npot,shared-efficient,7000000,128,0,3.153664,3.131008
npot,cpu,7250000,0,0,25.313522,24.952374
npot,efficient,7250000,256,0,3.909632,3.896480
npot,efficient-unoptimized,7250000,256,0,17.561056,17.545729
npot,thrust,7250000,0,0,53.344097,53.036255
npot,shared-efficient,7250000,128,0,3.260832,3.237760
npot,cpu,7500000,0,0,25.410620,25.100880
npot,efficient,7500000,256,0,3.916576,3.905440
npot,efficient-unoptimized,7500000,256,0,17.564287,17.549313
npot,thrust,7500000,0,0,55.195648,55.013374
npot,shared-efficient,7500000,128,0,3.367968,3.347104
npot,cpu,7750000,0,0,28.203392,26.599529
npot,efficient,7750000,256,0,3.909760,3.888160
npot,efficient-unoptimized,7750000,256,0,17.568064,17.559521
npot,thrust,7750000,0,0,57.047649,56.675583
npot,shared-efficient,7750000,128,0,3.481216,3.455200
npot,cpu,8000000,0,0,27.512966,27.180586
npot,efficient,8000000,256,0,3.915616,3.899520
npot,efficient-unoptimized,8000000,256,0,17.567904,17.546881
npot,thrust,8000000,0,0,58.875904,58.726528
npot,shared-efficient,8000000,128,0,3.587264,3.553120
npot,cpu,8250000,0,0,29.296911,28.467209
