experiment,impl,n,blockSize,param,median_ms,min_ms
scan,shared-naive,32765,128,0,0.025792,0.024928
scan,shared-efficient,32765,128,0,0.026208,0.024928
scan,cpu,65536,0,0,0.033418,0.033134
scan,naive,65536,256,0,0.074816,0.073376
scan,efficient,65536,256,0,0.132576,0.131648
scan,efficient-unoptimized,65536,256,0,0.151296,0.148832
scan,thrust,65536,0,0,0.031744,0.030624
scan,shared-naive,65536,128,0,0.028768,0.027552
scan,shared-efficient,65536,128,0,0.027072,0.022944
scan,cpu,65533,0,0,0.033286,0.033086
scan,naive,65533,256,0,0.074784,0.074336
scan,efficient,65533,256,0,0.129056,0.129024
scan,efficient-unoptimized,65533,256,0,0.147488,0.147392
scan,thrust,65533,0,0,0.032800,0.031200
scan,shared-naive,65533,128,0,0.034272,0.029120
scan,shared-efficient,65533,128,0,0.025216,0.023552
scan,cpu,131072,0,0,0.068405,0.068118
scan,naive,131072,256,0,0.103008,0.101696
scan,efficient,131072,256,0,0.153824,0.151680
scan,efficient-unoptimized,131072,256,0,0.209664,0.208640
scan,thrust,131072,0,0,0.036416,0.033248
scan,shared-naive,131072,128,0,0.034976,0.033760
scan,shared-efficient,131072,128,0,0.043264,0.041728
scan,cpu,131069,0,0,0.063342,0.063014
scan,naive,131069,256,0,0.102688,0.101696
scan,efficient,131069,256,0,0.149632,0.149408
scan,efficient-unoptimized,131069,256,0,0.206208,0.205152
scan,thrust,131069,0,0,0.034880,0.033120
scan,shared-naive,131069,128,0,0.039136,0.035264
scan,shared-efficient,131069,128,0,0.040512,0.038112
scan,cpu,262144,0,0,0.141213,0.127872
scan,naive,262144,256,0,0.154688,0.150560
scan,efficient,262144,256,0,0.179488,0.178240
scan,efficient-unoptimized,262144,256,0,0.310880,0.309056
scan,thrust,262144,0,0,0.249536,0.246048
scan,shared-naive,262144,128,0,0.049152,0.047840
scan,shared-efficient,262144,128,0,0.050752,0.049760
scan,cpu,262141,0,0,0.143138,0.142249
scan,naive,262141,256,0,0.154144,0.151424
scan,efficient,262141,256,0,0.176672,0.176128
scan,efficient-unoptimized,262141,256,0,0.308160,0.307200
scan,thrust,262141,0,0,0.242912,0.238944
scan,shared-naive,262141,128,0,0.048224,0.047200
scan,shared-efficient,262141,128,0,0.055008,0.049952
scan,cpu,524288,0,0,0.293044,0.277694
scan,naive,524288,256,0,0.271168,0.268928
scan,efficient,524288,256,0,0.232768,0.231648
scan,efficient-unoptimized,524288,256,0,0.525472,0.524320
scan,thrust,524288,0,0,0.221184,0.217056
scan,shared-naive,524288,128,0,0.068000,0.067008
scan,shared-efficient,524288,128,0,0.072928,0.071584
scan,cpu,524285,0,0,0.285832,0.284159
scan,naive,524285,256,0,0.272544,0.269536
scan,efficient,524285,256,0,0.231424,0.230848
scan,efficient-unoptimized,524285,256,0,0.522784,0.521984
scan,thrust,524285,0,0,0.231648,0.219520
scan,shared-naive,524285,128,0,0.070144,0.068480
scan,shared-efficient,524285,128,0,0.074816,0.072640
scan,cpu,1048576,0,0,0.564403,0.519667
scan,naive,1048576,256,0,0.770624,0.766688
scan,efficient,1048576,256,0,0.349760,0.345824
scan,efficient-unoptimized,1048576,256,0,0.978720,0.977824
scan,thrust,1048576,0,0,0.275616,0.250048
scan,shared-naive,1048576,128,0,0.129984,0.128608
scan,shared-efficient,1048576,128,0,0.132000,0.130112
scan,cpu,1048573,0,0,0.583836,0.558308
scan,naive,1048573,256,0,0.774304,0.770304
scan,efficient,1048573,256,0,0.346400,0.345440
scan,efficient-unoptimized,1048573,256,0,0.975616,0.975040
scan,thrust,1048573,0,0,0.275552,0.255744
scan,shared-naive,1048573,128,0,0.126272,0.124512
scan,shared-efficient,1048573,128,0,0.131392,0.126400
scan,cpu,2097152,0,0,1.225557,1.196688
scan,naive,2097152,256,0,1.541696,1.539936
scan,efficient,2097152,256,0,0.953472,0.948640
scan,efficient-unoptimized,2097152,256,0,2.038944,1.893856
scan,thrust,2097152,0,0,0.290816,0.270336
scan,shared-naive,2097152,128,0,0.218208,0.212896
scan,shared-efficient,2097152,128,0,0.218016,0.216128
scan,cpu,2097149,0,0,1.236333,1.184265
scan,naive,2097149,256,0,1.510048,1.507840
scan,efficient,2097149,256,0,0.936288,0.933856
scan,efficient-unoptimized,2097149,256,0,1.892928,1.890720
scan,thrust,2097149,0,0,0.307168,0.295808
scan,shared-naive,2097149,128,0,0.216416,0.213664
scan,shared-efficient,2097149,128,0,0.191680,0.190656
scan,cpu,4194304,0,0,2.944646,2.755943
scan,naive,4194304,256,0,3.132544,3.129152
scan,efficient,4194304,256,0,1.847104,1.829376
scan,efficient-unoptimized,4194304,256,0,3.151328,3.149248
scan,thrust,4194304,0,0,0.428640,0.365984
scan,shared-naive,4194304,128,0,0.318816,0.316672
scan,shared-efficient,4194304,128,0,0.307424,0.303616
scan,cpu,4194301,0,0,3.014923,2.913201
scan,naive,4194301,256,0,3.182336,3.180224
scan,efficient,4194301,256,0,1.837856,1.826976
scan,efficient-unoptimized,4194301,256,0,2.672640,2.670784
scan,thrust,4194301,0,0,0.376832,0.370688
scan,shared-naive,4194301,128,0,0.316416,0.311616
scan,shared-efficient,4194301,128,0,0.299712,0.297632
scan,cpu,8388608,0,0,6.847751,6.604160
scan,naive,8388608,256,0,6.746240,6.743552
scan,efficient,8388608,256,0,3.767200,3.748320
scan,efficient-unoptimized,8388608,256,0,5.313120,5.307200
scan,thrust,8388608,0,0,0.532544,0.520512
scan,shared-naive,8388608,128,0,0.601536,0.600800
scan,shared-efficient,8388608,128,0,0.581248,0.579712
scan,cpu,8388605,0,0,6.815200,6.667818
scan,naive,8388605,256,0,6.745824,6.743456
scan,efficient,8388605,256,0,3.783360,3.764544
scan,efficient-unoptimized,8388605,256,0,5.312320,5.309696
scan,thrust,8388605,0,0,0.532096,0.509376
scan,shared-naive,8388605,128,0,0.602592,0.600000
scan,shared-efficient,8388605,128,0,0.582080,0.578976
scan,cpu,16777216,0,0,13.490481,13.350138
scan,naive,16777216,256,0,14.236704,14.229248
scan,efficient,16777216,256,0,7.675520,7.639776
scan,efficient-unoptimized,16777216,256,0,10.834528,10.827072
scan,thrust,16777216,0,0,0.859936,0.841536
scan,shared-naive,16777216,128,0,1.189568,1.185152
scan,shared-efficient,16777216,128,0,1.148480,1.147840
scan,cpu,16777213,0,0,13.589660,13.314083
scan,naive,16777213,256,0,14.238272,14.230880
scan,efficient,16777213,256,0,7.684320,7.660000
scan,efficient-unoptimized,16777213,256,0,10.836736,10.831872
scan,thrust,16777213,0,0,0.834496,0.811200
scan,shared-naive,16777213,128,0,1.189600,1.187872
scan,shared-efficient,16777213,128,0,1.146432,1.141248
scan,cpu,33554432,0,0,27.594881,26.951191
scan,naive,33554432,256,0,30.012512,29.999617
scan,efficient,33554432,256,0,15.448448,15.396384
scan,efficient-unoptimized,33554432,256,0,22.129984,22.120735
scan,thrust,33554432,0,0,1.478656,1.448352
scan,shared-naive,33554432,128,0,2.358464,2.351808
scan,shared-efficient,33554432,128,0,2.278112,2.272192
scan,cpu,33554429,0,0,27.567062,26.982048
scan,naive,33554429,256,0,30.004801,29.993696
scan,efficient,33554429,256,0,15.456544,15.416832
scan,efficient-unoptimized,33554429,256,0,22.126816,22.113983
scan,thrust,33554429,0,0,1.463392,1.422816
scan,shared-naive,33554429,128,0,2.354720,2.351904
scan,shared-efficient,33554429,128,0,2.278752,2.274208
scan,cpu,67108864,0,0,54.747932,54.108849
scan,naive,67108864,256,0,63.076385,63.059105
scan,efficient,67108864,256,0,31.039200,30.902208
scan,efficient-unoptimized,67108864,256,0,45.444992,45.406464
scan,thrust,67108864,0,0,2.600576,2.582528
scan,shared-naive,67108864,128,0,4.693248,4.674464
scan,shared-efficient,67108864,128,0,4.530496,4.522176
scan,cpu,67108861,0,0,56.318867,55.742870
scan,naive,67108861,256,0,63.079426,63.068417
scan,efficient,67108861,256,0,30.971905,30.906368
scan,efficient-unoptimized,67108861,256,0,45.432224,45.400928
scan,thrust,67108861,0,0,2.598912,2.590720
scan,shared-naive,67108861,128,0,4.698400,4.680384
scan,shared-efficient,67108861,128,0,4.532512,4.525344
