experiment,impl,n,blockSize,param,median_ms,min_ms
sort,radix,65533,256,1,4.108768,4.055168
sort,thrust-sort,65533,0,1,0.089120,0.085664
sort,cpu-std-sort,131072,0,0,6.647952,6.361491
sort,radix,131072,256,0,1.461568,1.403552
sort,thrust-sort,131072,0,0,0.090304,0.086848
sort,cpu-std-sort,131072,0,1,9.438507,9.356240
sort,radix,131072,256,1,4.442176,4.323392
sort,thrust-sort,131072,0,1,0.092096,0.090752
sort,cpu-std-sort,131069,0,0,6.467950,6.216007
sort,radix,131069,256,0,1.426624,1.388704
sort,thrust-sort,131069,0,0,0.092064,0.088928
sort,cpu-std-sort,131069,0,1,9.265688,9.071243
sort,radix,131069,256,1,4.437504,4.371488
sort,thrust-sort,131069,0,1,0.097152,0.095616
sort,cpu-std-sort,262144,0,0,12.931923,12.446661
sort,radix,262144,256,0,1.532512,1.488096
sort,thrust-sort,262144,0,0,0.317824,0.300576
sort,cpu-std-sort,262144,0,1,19.594610,19.361057
sort,radix,262144,256,1,4.741472,4.646272
sort,thrust-sort,262144,0,1,0.345632,0.329216
sort,cpu-std-sort,262141,0,0,13.294045,12.854087
sort,radix,262141,256,0,1.575136,1.493888
sort,thrust-sort,262141,0,0,0.333696,0.316128
sort,cpu-std-sort,262141,0,1,20.102226,19.737282
sort,radix,262141,256,1,4.858400,4.751008
sort,thrust-sort,262141,0,1,0.342400,0.323520
sort,cpu-std-sort,524288,0,0,27.003460,25.510555
sort,radix,524288,256,0,2.780160,2.764000
sort,thrust-sort,524288,0,0,0.460992,0.449056
sort,cpu-std-sort,524288,0,1,40.952919,40.317265
sort,radix,524288,256,1,9.515232,9.482752
sort,thrust-sort,524288,0,1,0.568384,0.536000
sort,cpu-std-sort,524285,0,0,26.864326,26.201590
sort,radix,524285,256,0,3.035488,3.016544
sort,thrust-sort,524285,0,0,0.499840,0.483232
sort,cpu-std-sort,524285,0,1,41.422619,40.580204
sort,radix,524285,256,1,9.377600,9.326944
sort,thrust-sort,524285,0,1,0.584416,0.532928
sort,cpu-std-sort,1048576,0,0,54.627029,53.693592
sort,radix,1048576,256,0,4.938304,4.913856
