experiment,impl,n,blockSize,param,median_ms,min_ms
compact,cpu-without-scan,2097152,0,0,6.914992,6.579469
compact,cpu-with-scan,2097152,0,0,10.818019,10.119176
compact,efficient,2097152,256,0,1.243776,1.240384
compact,thrust,2097152,0,0,0.379968,0.374848
compact,cpu-without-scan,2097149,0,0,6.943811,6.669951
compact,cpu-with-scan,2097149,0,0,10.594460,10.143805
compact,efficient,2097149,256,0,1.261760,1.254848
compact,thrust,2097149,0,0,0.394720,0.370304
compact,cpu-without-scan,4194304,0,0,13.724673,13.242783
compact,cpu-with-scan,4194304,0,0,22.841446,20.931967
compact,efficient,4194304,256,0,2.520992,2.508448
compact,thrust,4194304,0,0,0.506848,0.470176
compact,cpu-without-scan,4194301,0,0,14.036891,13.866339
compact,cpu-with-scan,4194301,0,0,20.841536,20.679760
compact,efficient,4194301,256,0,2.496544,2.485536
compact,thrust,4194301,0,0,0.490560,0.461536
compact,cpu-without-scan,8388608,0,0,26.877359,25.915684
compact,cpu-with-scan,8388608,0,0,42.608715,41.292721
compact,efficient,8388608,256,0,4.970976,4.948576
compact,thrust,8388608,0,0,0.648128,0.624352
compact,cpu-without-scan,8388605,0,0,26.849171,26.121202
compact,cpu-with-scan,8388605,0,0,41.792435,41.125027
compact,efficient,8388605,256,0,4.887872,4.867808
compact,thrust,8388605,0,0,0.627200,0.610880
compact,cpu-without-scan,16777216,0,0,54.851593,53.197601
compact,cpu-with-scan,16777216,0,0,83.999252,82.373291
compact,efficient,16777216,256,0,9.889344,9.702720
compact,thrust,16777216,0,0,1.050368,1.002176
compact,cpu-without-scan,16777213,0,0,55.825096,53.764736
compact,cpu-with-scan,16777213,0,0,85.463287,84.162720
compact,efficient,16777213,256,0,9.890432,9.689344
compact,thrust,16777213,0,0,0.987488,0.934624
compact,cpu-without-scan,33554432,0,0,108.233772,106.307304
compact,cpu-with-scan,33554432,0,0,169.199020,167.374771
compact,efficient,33554432,256,0,19.700417,19.396992
compact,thrust,33554432,0,0,1.581856,1.560960
compact,cpu-without-scan,33554429,0,0,109.374878,107.986969
compact,cpu-with-scan,33554429,0,0,166.607742,165.140259
compact,efficient,33554429,256,0,19.652609,19.443041
compact,thrust,33554429,0,0,1.563200,1.535712
compact,cpu-without-scan,67108864,0,0,218.118713,214.779129
compact,cpu-with-scan,67108864,0,0,337.784271,328.936920
compact,efficient,67108864,256,0,39.523392,38.940769
compact,thrust,67108864,0,0,2.794272,2.756320
compact,cpu-without-scan,67108861,0,0,217.042328,215.592316
compact,cpu-with-scan,67108861,0,0,336.229828,331.299774
compact,efficient,67108861,256,0,39.458305,38.876961
compact,thrust,67108861,0,0,2.792224,2.752320
